Type,Front,Back,Tags
"Cloze","Binary search has {{c1::O(log n)}} time complexity","","binary_search::complexity"
"Cloze","Binary search requires {{c1::O(1)}} extra space","","binary_search::complexity"
"Cloze","Binary search requires array to be {{c1::sorted}}","","binary_search::concept"
"Cloze","Binary search divides search space by {{c1::half}} each iteration","","binary_search::concept"
"Cloze","{{c1::Search space}} binary search: apply binary search on answer range, not array","","binary_search::concept"
"Cloze","{{c1::bisect_left}} returns leftmost position to insert element","","binary_search::concept"
"Cloze","{{c1::bisect_right}} returns rightmost position to insert element","","binary_search::concept"
"Cloze","Lower bound finds {{c1::first element >= target}}","","binary_search::concept"
"Cloze","Upper bound finds {{c1::first element > target}}","","binary_search::concept"
"Cloze","Import bisect: {{c1::import bisect}} or {{c2::from bisect import bisect_left, bisect_right}}","","binary_search::python"
"Cloze","Find insertion point: {{c1::bisect.bisect_left(arr, x)}}","","binary_search::python"
"Cloze","Find rightmost insertion point: {{c1::bisect.bisect_right(arr, x)}} or {{c2::bisect.bisect(arr, x)}}","","binary_search::python"
"Cloze","Insert maintaining sort order: {{c1::bisect.insort_left(arr, x)}}","","binary_search::python"
"Cloze","Binary search built-in: {{c1::bisect_left(arr, x)}} returns index of x or insertion point","","binary_search::python"
"Cloze","Check if element exists: {{c1::i = bisect_left(arr, x); return i < len(arr) and arr[i] == x}}","","binary_search::python"
"Cloze","Find floor (largest <= x): {{c1::i = bisect_right(arr, x) - 1}}","","binary_search::python"
"Cloze","Find ceiling (smallest >= x): {{c1::i = bisect_left(arr, x)}}","","binary_search::python"
"Cloze","Count elements < x: {{c1::bisect_left(arr, x)}}","","binary_search::python"
"Cloze","Count elements <= x: {{c1::bisect_right(arr, x)}}","","binary_search::python"
"Cloze","Integer mid to avoid overflow: {{c1::mid = left + (right - left) // 2}}","","binary_search::python"
"Cloze","Python mid (no overflow issue): {{c1::mid = (left + right) // 2}}","","binary_search::python"
"Basic","Problem says 'sorted array' with O(log n) required. What technique?","Binary search","binary_search::pattern"
"Basic","Problem asks for 'minimum satisfying condition'. What technique?","Binary search on answer space","binary_search::pattern"
"Basic","Problem asks for 'maximum satisfying condition'. What technique?","Binary search on answer space","binary_search::pattern"
"Basic","Problem involves 'rotated sorted array'. What approach?","Modified binary search","binary_search::pattern"
"Basic","Problem asks 'find peak element'. What approach?","Binary search comparing mid with neighbors","binary_search::pattern"
"Basic","Problem asks 'find first/last occurrence'. What approach?","Binary search with bisect_left/bisect_right","binary_search::pattern"
"Basic","Problem has 'matrix sorted row-wise and column-wise'. What approach?","Binary search or start from corner","binary_search::pattern"
"Basic","Problem asks 'minimize maximum' or 'maximize minimum'. What approach?","Binary search on answer","binary_search::pattern"
"Basic","Problem asks 'kth smallest/largest'. What approach?","Binary search on value range","binary_search::pattern"
"Cloze","Standard binary search template: {{c1::while left <= right: mid = (left + right) // 2}}","","binary_search::code"
"Cloze","Binary search - target found: {{c1::if arr[mid] == target: return mid}}","","binary_search::code"
"Cloze","Binary search - target in right half: {{c1::if arr[mid] < target: left = mid + 1}}","","binary_search::code"
"Cloze","Binary search - target in left half: {{c1::if arr[mid] > target: right = mid - 1}}","","binary_search::code"
"Cloze","Binary search - not found return: {{c1::return -1}} or {{c2::return left}} for insertion point","","binary_search::code"
"Cloze","Find first occurrence: {{c1::if arr[mid] >= target: right = mid - 1 else: left = mid + 1; return left}}","","binary_search::code"
"Cloze","Find last occurrence: {{c1::if arr[mid] <= target: left = mid + 1 else: right = mid - 1; return right}}","","binary_search::code"
"Cloze","Rotated array - find pivot: left half sorted if {{c1::nums[left] <= nums[mid]}}","","binary_search::code"
"Cloze","Rotated array - target in sorted half: {{c1::if nums[left] <= target < nums[mid]}}","","binary_search::code"
"Cloze","Find minimum in rotated: {{c1::if nums[mid] > nums[right]: left = mid + 1 else: right = mid}}","","binary_search::code"
"Cloze","Peak element - go toward higher neighbor: {{c1::if nums[mid] < nums[mid + 1]: left = mid + 1 else: right = mid}}","","binary_search::code"
"Cloze","Search space binary search template: {{c1::while left < right: mid = (left + right) // 2}}","","binary_search::code"
"Cloze","Search space - condition satisfied: {{c1::if condition(mid): right = mid else: left = mid + 1}}","","binary_search::code"
"Cloze","Koko eating bananas - hours needed: {{c1::hours = sum((pile + speed - 1) // speed for pile in piles)}}","","binary_search::code"
"Cloze","Koko eating bananas - ceiling division: {{c1::math.ceil(pile / speed)}} or {{c2::(pile + speed - 1) // speed}}","","binary_search::code"
"Cloze","Search 2D matrix - convert to 1D index: {{c1::row, col = mid // n, mid % n}}","","binary_search::code"
"Cloze","Median of two sorted - partition: {{c1::partitionX = (left + right) // 2}}","","binary_search::code"
"Cloze","Time based key-value - bisect for timestamp: {{c1::i = bisect_right(timestamps, timestamp) - 1}}","","binary_search::code"
