Type,Front,Back,Tags
"Cloze","An {{c1::interval}} is a range [start, end]","","intervals::concept"
"Cloze","Two intervals {{c1::overlap}} if one starts before the other ends","","intervals::concept"
"Cloze","Intervals overlap when {{c1::a.start <= b.end and b.start <= a.end}}","","intervals::concept"
"Cloze","{{c1::Merge}} overlapping intervals by taking min start, max end","","intervals::concept"
"Cloze","Interval problems often require {{c1::sorting}} first","","intervals::concept"
"Cloze","Sort by {{c1::start time}} for merge problems","","intervals::concept"
"Cloze","Sort by {{c1::end time}} for greedy selection problems","","intervals::concept"
"Cloze","{{c1::Meeting rooms}} problems check for conflicts or count rooms needed","","intervals::concept"
"Cloze","Sort intervals by start: {{c1::intervals.sort(key=lambda x: x[0])}}","","intervals::python"
"Cloze","Sort intervals by end: {{c1::intervals.sort(key=lambda x: x[1])}}","","intervals::python"
"Cloze","Sort by multiple keys: {{c1::intervals.sort(key=lambda x: (x[0], x[1]))}}","","intervals::python"
"Cloze","Check overlap: {{c1::not (a[1] < b[0] or b[1] < a[0])}}","","intervals::python"
"Cloze","Merge two intervals: {{c1::[min(a[0], b[0]), max(a[1], b[1])]}}","","intervals::python"
"Basic","Problem asks to 'merge overlapping intervals'. What approach?","Sort by start, merge if overlapping","intervals::pattern"
"Basic","Problem asks to 'insert interval'. What approach?","Add intervals before, merge overlapping, add after","intervals::pattern"
"Basic","Problem asks 'can attend all meetings'. What approach?","Sort by start, check for overlaps","intervals::pattern"
"Basic","Problem asks 'minimum meeting rooms'. What approach?","Min heap tracking end times, or sort start/end separately","intervals::pattern"
"Basic","Problem involves 'non-overlapping intervals to remove'. What approach?","Sort by end time, greedy keep non-overlapping","intervals::pattern"
"Basic","Problem asks for 'interval intersection'. What approach?","Two pointers, advance the one ending earlier","intervals::pattern"
"Cloze","Merge intervals: {{c1::if merged[-1][1] >= interval[0]: merged[-1][1] = max(merged[-1][1], interval[1]); else: merged.append(interval)}}","","intervals::code"
"Cloze","Insert interval - add before: {{c1::while i < n and intervals[i][1] < newInterval[0]: result.append(intervals[i]); i += 1}}","","intervals::code"
"Cloze","Insert interval - merge: {{c1::while i < n and intervals[i][0] <= newInterval[1]: newInterval = [min(newInterval[0], intervals[i][0]), max(newInterval[1], intervals[i][1])]; i += 1}}","","intervals::code"
"Cloze","Meeting rooms check: {{c1::for i in range(1, n): if intervals[i][0] < intervals[i-1][1]: return False}}","","intervals::code"
"Cloze","Meeting rooms II with heap: {{c1::for interval in intervals: if heap and heap[0] <= interval[0]: heappop(heap); heappush(heap, interval[1])}}","","intervals::code"
"Cloze","Meeting rooms II answer: {{c1::len(heap)}} is max concurrent meetings","","intervals::code"
"Cloze","Non-overlapping - sort by end: {{c1::intervals.sort(key=lambda x: x[1])}}","","intervals::code"
"Cloze","Non-overlapping - greedy count: {{c1::end = float('-inf'); count = 0; for interval in intervals: if interval[0] >= end: count += 1; end = interval[1]}}","","intervals::code"
"Cloze","Interval intersection: {{c1::lo = max(a[i][0], b[j][0]); hi = min(a[i][1], b[j][1]); if lo <= hi: result.append([lo, hi])}}","","intervals::code"
"Cloze","Interval intersection - advance: {{c1::if a[i][1] < b[j][1]: i += 1; else: j += 1}}","","intervals::code"
"Cloze","Minimum arrows to burst balloons: {{c1::same as non-overlapping intervals, count groups}}","","intervals::code"
"Basic","Merge Intervals: Merge overlapping intervals. Approach?","Sort by start, merge if current overlaps with last","intervals::problem"
"Basic","Insert Interval: Insert into sorted non-overlapping. Approach?","Add non-overlapping before, merge overlapping, add rest","intervals::problem"
"Basic","Meeting Rooms: Can attend all meetings. Approach?","Sort by start, check if any overlap","intervals::problem"
"Basic","Meeting Rooms II: Min rooms needed. Approach?","Min heap of end times, or count starts/ends","intervals::problem"
"Basic","Non-overlapping Intervals: Min removals for no overlap. Approach?","Sort by end, greedy keep non-overlapping","intervals::problem"
"Basic","Interval List Intersections: Find all intersections. Approach?","Two pointers, advance the one ending earlier","intervals::problem"
"Basic","Minimum Number of Arrows: Arrows to burst all balloons. Approach?","Sort by end, count groups needing separate arrows","intervals::problem"
"Basic","Time complexity of Merge Intervals?","O(n log n) for sorting","intervals::complexity"
"Basic","Time complexity of Insert Interval?","O(n)","intervals::complexity"
"Basic","Time complexity of Meeting Rooms II?","O(n log n)","intervals::complexity"
"Basic","Space complexity of Merge Intervals?","O(n) for output","intervals::complexity"
"Basic","Space complexity of Meeting Rooms II with heap?","O(n)","intervals::complexity"
"Basic","Why sort by end time for non-overlapping selection?","Greedy: picking earliest end leaves most room for others","intervals::concept"
"Basic","Why use heap for Meeting Rooms II?","Track only active meetings, efficiently find earliest ending","intervals::concept"
"Basic","What's the difference between merge and insert interval problems?","Merge: unsorted input. Insert: sorted, add new interval","intervals::concept"
"Cloze","Employee free time - merge all busy: {{c1::flatten, sort, merge, find gaps}}","","intervals::code"
"Basic","Employee Free Time: Common free time across schedules. Approach?","Flatten all busy intervals, merge, find gaps","intervals::problem"
"Cloze","Remove covered intervals: {{c1::sort by start asc, end desc; count if current end > prev_end}}","","intervals::code"
"Basic","Remove Covered Intervals: Count non-covered intervals. Approach?","Sort by start asc/end desc, track max end seen","intervals::problem"
"Cloze","Car pooling - count at each point: {{c1::changes = defaultdict(int); for passengers, start, end: changes[start] += passengers; changes[end] -= passengers}}","","intervals::code"
"Basic","Car Pooling: Can complete trips with capacity. Approach?","Line sweep: track passengers at each point","intervals::problem"
