Type,Front,Back,Tags
"Cloze","{{c1::AND}} (&): 1 only if both bits are 1","","bit_manipulation::concept"
"Cloze","{{c1::OR}} (|): 1 if at least one bit is 1","","bit_manipulation::concept"
"Cloze","{{c1::XOR}} (^): 1 if bits are different","","bit_manipulation::concept"
"Cloze","{{c1::NOT}} (~): flips all bits","","bit_manipulation::concept"
"Cloze","{{c1::Left shift}} (<<): multiply by 2^n","","bit_manipulation::concept"
"Cloze","{{c1::Right shift}} (>>): divide by 2^n","","bit_manipulation::concept"
"Cloze","x ^ x = {{c1::0}}","","bit_manipulation::concept"
"Cloze","x ^ 0 = {{c1::x}}","","bit_manipulation::concept"
"Cloze","x & (x - 1) removes {{c1::rightmost set bit}}","","bit_manipulation::concept"
"Cloze","x & (-x) isolates {{c1::rightmost set bit}}","","bit_manipulation::concept"
"Cloze","x | (x + 1) sets {{c1::rightmost unset bit}}","","bit_manipulation::concept"
"Cloze","Two's complement of x is {{c1::~x + 1}} or {{c2::-x}}","","bit_manipulation::concept"
"Cloze","Check if bit i is set: {{c1::(x >> i) & 1}} or {{c2::x & (1 << i)}}","","bit_manipulation::python"
"Cloze","Set bit i: {{c1::x | (1 << i)}}","","bit_manipulation::python"
"Cloze","Clear bit i: {{c1::x & ~(1 << i)}}","","bit_manipulation::python"
"Cloze","Toggle bit i: {{c1::x ^ (1 << i)}}","","bit_manipulation::python"
"Cloze","Check if power of 2: {{c1::x > 0 and x & (x - 1) == 0}}","","bit_manipulation::python"
"Cloze","Count set bits (Python): {{c1::bin(x).count('1')}}","","bit_manipulation::python"
"Cloze","Convert to binary string: {{c1::bin(x)}} returns '0b...'","","bit_manipulation::python"
"Cloze","Convert binary string to int: {{c1::int('1010', 2)}}","","bit_manipulation::python"
"Cloze","Python integer is {{c1::arbitrary precision}} (no overflow)","","bit_manipulation::python"
"Cloze","Get lowest n bits: {{c1::x & ((1 << n) - 1)}}","","bit_manipulation::python"
"Basic","Problem says 'find single element among duplicates'. What approach?","XOR all elements - duplicates cancel","bit_manipulation::pattern"
"Basic","Problem asks 'count set bits'. What approach?","Brian Kernighan: n & (n-1) removes one bit at a time","bit_manipulation::pattern"
"Basic","Problem involves 'subsets generation'. What approach?","Iterate 0 to 2^n-1, each number represents a subset","bit_manipulation::pattern"
"Basic","Problem asks 'reverse bits'. What approach?","Iterate through bits, build result","bit_manipulation::pattern"
"Basic","Problem involves 'addition without +'. What approach?","XOR for sum without carry, AND << 1 for carry, repeat","bit_manipulation::pattern"
"Basic","Problem asks 'missing number in 0 to n'. What approach?","XOR all numbers with 0 to n, or sum formula","bit_manipulation::pattern"
"Cloze","Single Number: {{c1::result = 0; for num in nums: result ^= num; return result}}","","bit_manipulation::code"
"Cloze","Number of 1 Bits: {{c1::count = 0; while n: n &= n - 1; count += 1; return count}}","","bit_manipulation::code"
"Cloze","Counting Bits dp: {{c1::dp[i] = dp[i >> 1] + (i & 1)}} or {{c2::dp[i] = dp[i & (i-1)] + 1}}","","bit_manipulation::code"
"Cloze","Reverse Bits: {{c1::result = 0; for _ in range(32): result = (result << 1) | (n & 1); n >>= 1}}","","bit_manipulation::code"
"Cloze","Missing Number: {{c1::result = len(nums); for i, num in enumerate(nums): result ^= i ^ num; return result}}","","bit_manipulation::code"
"Cloze","Sum of Two Integers: {{c1::while b: a, b = a ^ b, (a & b) << 1; return a}}","","bit_manipulation::code"
"Cloze","Sum of Two Integers (Python mask): {{c1::mask = 0xFFFFFFFF; ... handle negative with ~(a ^ mask)}}","","bit_manipulation::code"
"Cloze","Single Number II (appears 3 times): {{c1::ones, twos = 0, 0; for num: ones = (ones ^ num) & ~twos; twos = (twos ^ num) & ~ones}}","","bit_manipulation::code"
"Cloze","Single Number III (two singles): {{c1::xor_all = reduce(xor, nums); diff_bit = xor_all & -xor_all; group by diff_bit}}","","bit_manipulation::code"
"Cloze","Generate subsets with bits: {{c1::for mask in range(1 << n): subset = [nums[i] for i in range(n) if mask & (1 << i)]}}","","bit_manipulation::code"
"Basic","Single Number: Find element appearing once, others twice. Approach?","XOR all elements","bit_manipulation::problem"
"Basic","Number of 1 Bits: Count set bits in integer. Approach?","Brian Kernighan: n &= n-1 removes one bit","bit_manipulation::problem"
"Basic","Counting Bits: Count bits for 0 to n. Approach?","DP: dp[i] = dp[i >> 1] + (i & 1)","bit_manipulation::problem"
"Basic","Reverse Bits: Reverse 32-bit unsigned integer. Approach?","Extract LSB, add to result, shift both","bit_manipulation::problem"
"Basic","Missing Number: Find missing in 0 to n. Approach?","XOR all nums with 0 to n, or sum difference","bit_manipulation::problem"
"Basic","Sum of Two Integers: Add without +/-. Approach?","XOR for sum, AND << 1 for carry, repeat","bit_manipulation::problem"
"Basic","Single Number II: Find element appearing once, others three times. Approach?","Track bits appearing 1 and 2 times with state machine","bit_manipulation::problem"
"Basic","Single Number III: Find two elements appearing once. Approach?","XOR all, find diff bit, split into two groups","bit_manipulation::problem"
"Basic","Time complexity of Single Number?","O(n)","bit_manipulation::complexity"
"Basic","Time complexity of Number of 1 Bits?","O(number of set bits) = O(log n)","bit_manipulation::complexity"
"Basic","Time complexity of Counting Bits?","O(n)","bit_manipulation::complexity"
"Basic","Time complexity of Reverse Bits?","O(1) - always 32 iterations","bit_manipulation::complexity"
"Basic","Space complexity of bit manipulation solutions?","Usually O(1)","bit_manipulation::complexity"
"Basic","Why does XOR find single number?","a ^ a = 0, so duplicates cancel; 0 ^ x = x, so single remains","bit_manipulation::concept"
"Basic","Why does n & (n-1) remove rightmost bit?","n-1 flips rightmost 1 and all bits to its right; AND clears those","bit_manipulation::concept"
"Basic","How does bitmask represent subset?","Bit i set means element i is included; 2^n masks for n elements","bit_manipulation::concept"
"Cloze","Power of two: {{c1::n > 0 and n & (n - 1) == 0}}","","bit_manipulation::code"
"Basic","Power of Two: Check if n is power of 2. Approach?","n > 0 and n & (n-1) == 0 (only one bit set)","bit_manipulation::problem"
"Cloze","Bitwise AND of range: {{c1::while m < n: m &= m - 1; n &= n - 1; ... or find common prefix}}","","bit_manipulation::code"
"Basic","Bitwise AND of Numbers Range: AND of all numbers m to n. Approach?","Find common prefix of m and n in binary","bit_manipulation::problem"
"Cloze","Hamming distance: {{c1::bin(x ^ y).count('1')}} or count bits of x ^ y","","bit_manipulation::code"
"Basic","Hamming Distance: Count differing bits between two integers. Approach?","XOR then count set bits","bit_manipulation::problem"
"Cloze","Complete Single Number:<br>def singleNumber(nums):<br>    {{c1::result = 0}}<br>    {{c2::for num in nums:}}<br>        {{c3::result ^= num}}<br>    {{c4::return result}}","","bit_manipulation::implementation"
"Cloze","Complete Number of 1 Bits (Brian Kernighan):<br>def hammingWeight(n):<br>    {{c1::count = 0}}<br>    {{c2::while n:}}<br>        {{c3::n &= n - 1}}  # Remove rightmost set bit<br>        {{c4::count += 1}}<br>    return count","","bit_manipulation::implementation"
"Cloze","Complete Counting Bits:<br>def countBits(n):<br>    {{c1::dp = [0] * (n + 1)}}<br>    {{c2::for i in range(1, n + 1):}}<br>        {{c3::dp[i] = dp[i >> 1] + (i & 1)}}  # Right shift + LSB<br>    return dp","","bit_manipulation::implementation"
"Cloze","Complete Reverse Bits:<br>def reverseBits(n):<br>    {{c1::result = 0}}<br>    {{c2::for _ in range(32):}}<br>        {{c3::result = (result << 1) | (n & 1)}}<br>        {{c4::n >>= 1}}<br>    return result","","bit_manipulation::implementation"
"Cloze","Complete Single Number III (Two Singles):<br>def singleNumber(nums):<br>    {{c1::xor_all = 0}}<br>    for num in nums: xor_all ^= num<br>    {{c2::diff_bit = xor_all & -xor_all}}  # Rightmost differing bit<br>    {{c3::a = b = 0}}<br>    for num in nums:<br>        {{c4::if num & diff_bit: a ^= num}}<br>        {{c5::else: b ^= num}}<br>    return [a, b]","","bit_manipulation::implementation"
"Cloze","Complete Sum of Two Integers (handling negatives in Python):<br>def getSum(a, b):<br>    {{c1::mask = 0xFFFFFFFF}}<br>    {{c2::while b & mask:}}<br>        {{c3::carry = (a & b) << 1}}<br>        {{c4::a = a ^ b}}<br>        {{c5::b = carry}}<br>    {{c6::return a & mask if b > mask else a}}","","bit_manipulation::implementation"
"Basic","Bit manipulation key insight: XOR properties?","a^a=0, a^0=a, commutative, associative - perfect for finding singles","bit_manipulation::insight"
"Basic","Bit manipulation key insight: How to isolate rightmost set bit?","x & -x (or x & (~x + 1)) - two's complement property","bit_manipulation::insight"
"Basic","Bit manipulation key insight: How to clear all bits except rightmost?","x & -x gives only the rightmost set bit","bit_manipulation::insight"
"Basic","Bit manipulation edge case: negative numbers in Python?","Python has arbitrary precision; may need mask (0xFFFFFFFF) for 32-bit operations","bit_manipulation::edge_case"
"Basic","Bit manipulation edge case: zero input?","Usually returns 0, but check problem-specific requirements","bit_manipulation::edge_case"
