Type,Front,Back,Tags
"Cloze","A {{c1::trie}} (prefix tree) stores strings character by character","","tries::concept"
"Cloze","Trie search time is {{c1::O(m)}} where m is word length","","tries::complexity"
"Cloze","Trie insert time is {{c1::O(m)}} where m is word length","","tries::complexity"
"Cloze","Trie space is {{c1::O(n * m)}} for n words of max length m","","tries::complexity"
"Cloze","Each trie node contains {{c1::children}} (dict/array) and {{c1::end marker}}","","tries::concept"
"Cloze","Trie is efficient for {{c1::prefix}} operations","","tries::concept"
"Cloze","Trie root represents {{c1::empty string}}","","tries::concept"
"Cloze","{{c1::startsWith}} operation finds words with given prefix","","tries::concept"
"Cloze","Trie outperforms hashmap for {{c1::prefix matching}} and {{c1::autocomplete}}","","tries::concept"
"Cloze","TrieNode with dict: {{c1::class TrieNode: def __init__(self): self.children = {}; self.is_end = False}}","","tries::python"
"Cloze","TrieNode with defaultdict: {{c1::class TrieNode: def __init__(self): self.children = defaultdict(TrieNode); self.is_end = False}}","","tries::python"
"Cloze","TrieNode with array (26 letters): {{c1::self.children = [None] * 26}}","","tries::python"
"Cloze","Get child index for char: {{c1::ord(c) - ord('a')}}","","tries::python"
"Cloze","Initialize Trie: {{c1::self.root = TrieNode()}}","","tries::python"
"Basic","Problem involves 'prefix matching'. What structure?","Trie","tries::pattern"
"Basic","Problem asks for 'autocomplete suggestions'. What structure?","Trie","tries::pattern"
"Basic","Problem involves 'word search in board'. What approach?","Trie + backtracking","tries::pattern"
"Basic","Problem asks for 'longest common prefix'. What structure can help?","Trie - traverse until branch","tries::pattern"
"Basic","Problem needs 'searching words with wildcards'. What approach?","Trie with DFS for wildcard matching","tries::pattern"
"Basic","Problem asks for 'count words with prefix'. What structure?","Trie with count at each node","tries::pattern"
"Cloze","Trie insert: {{c1::def insert(self, word): node = self.root; for c in word: if c not in node.children: node.children[c] = TrieNode(); node = node.children[c]; node.is_end = True}}","","tries::code"
"Cloze","Trie search word: {{c1::def search(self, word): node = self.root; for c in word: if c not in node.children: return False; node = node.children[c]; return node.is_end}}","","tries::code"
"Cloze","Trie startsWith: {{c1::def startsWith(self, prefix): node = self.root; for c in prefix: if c not in node.children: return False; node = node.children[c]; return True}}","","tries::code"
"Cloze","Trie helper to get node: {{c1::def _find(self, prefix): node = self.root; for c in prefix: if c not in node.children: return None; node = node.children[c]; return node}}","","tries::code"
"Cloze","Search with wildcard '.': {{c1::def search(self, word, node, i): if i == len(word): return node.is_end; if word[i] == '.': return any(self.search(word, child, i+1) for child in node.children.values()); if word[i] not in node.children: return False; return self.search(word, node.children[word[i]], i+1)}}","","tries::code"
"Cloze","Word Search II - build trie: {{c1::for word in words: node = root; for c in word: if c not in node.children: node.children[c] = TrieNode(); node = node.children[c]; node.word = word}}","","tries::code"
"Cloze","Word Search II - DFS on board: {{c1::def dfs(i, j, node): if node.word: result.add(node.word); c = board[i][j]; board[i][j] = '#'; for di, dj in directions: if valid(ni, nj) and board[ni][nj] in node.children: dfs(ni, nj, node.children[board[ni][nj]]); board[i][j] = c}}","","tries::code"
"Cloze","Count words with prefix: {{c1::store count at each node, increment during insert}}","","tries::code"
"Cloze","Delete from trie: {{c1::recursively check if node can be removed (no children and not end of another word)}}","","tries::code"
"Cloze","Get all words with prefix: {{c1::find prefix node, then DFS collecting all words ending at is_end nodes}}","","tries::code"
"Basic","Implement Trie: Insert, search, startsWith. Approach?","TrieNode with children dict and is_end flag","tries::problem"
"Basic","Design Add and Search Words: Support '.' wildcard. Approach?","Trie with DFS for wildcard - try all children","tries::problem"
"Basic","Word Search II: Find all words from list in board. Approach?","Build trie from words, DFS board with trie guidance","tries::problem"
"Basic","Time complexity of Trie insert?","O(m) where m is word length","tries::complexity"
"Basic","Time complexity of Trie search?","O(m) where m is word length","tries::complexity"
"Basic","Time complexity of wildcard search with '.'?","O(m * 26) worst case per wildcard position","tries::complexity"
"Basic","Time complexity of Word Search II?","O(m * n * 4^L) where L is max word length","tries::complexity"
"Basic","Space complexity of Trie?","O(total characters across all words)","tries::complexity"
"Basic","When to use Trie vs HashMap for string storage?","Trie: prefix operations, autocomplete. HashMap: exact lookup only","tries::concept"
"Basic","Why store whole word at end node in Word Search II?","Avoid reconstructing word from path during DFS","tries::concept"
