Type,Front,Back,Tags
"Cloze","{{c1::Dijkstra's}} finds shortest path in weighted graph with non-negative edges","","adv_graphs::concept"
"Cloze","Dijkstra's uses {{c1::min heap}} to always process closest unvisited node","","adv_graphs::concept"
"Cloze","Dijkstra's time is {{c1::O((V + E) log V)}} with heap","","adv_graphs::complexity"
"Cloze","{{c1::Bellman-Ford}} handles negative edge weights","","adv_graphs::concept"
"Cloze","Bellman-Ford time is {{c1::O(V * E)}}","","adv_graphs::complexity"
"Cloze","Bellman-Ford detects {{c1::negative cycles}} if V-th iteration improves distance","","adv_graphs::concept"
"Cloze","{{c1::Topological sort}} orders vertices so all edges point forward","","adv_graphs::concept"
"Cloze","Topological sort only works on {{c1::DAG}} (directed acyclic graph)","","adv_graphs::concept"
"Cloze","{{c1::Union-Find}} tracks connected components with near O(1) operations","","adv_graphs::concept"
"Cloze","Union-Find {{c1::path compression}}: point all to root during find","","adv_graphs::concept"
"Cloze","Union-Find {{c1::union by rank}}: attach smaller tree to larger","","adv_graphs::concept"
"Cloze","Union-Find amortized time is {{c1::O(α(n))}} ≈ O(1)","","adv_graphs::complexity"
"Cloze","{{c1::Kruskal's}} builds MST by adding edges in weight order","","adv_graphs::concept"
"Cloze","{{c1::Prim's}} builds MST by growing from single vertex","","adv_graphs::concept"
"Cloze","MST algorithms have time {{c1::O(E log E)}} or {{c2::O(E log V)}}","","adv_graphs::complexity"
"Cloze","Dijkstra's init: {{c1::dist = {node: float('inf') for node in graph}; dist[start] = 0; heap = [(0, start)]}}","","adv_graphs::python"
"Cloze","Dijkstra's process: {{c1::while heap: d, u = heappop(heap); if d > dist[u]: continue; for v, w in graph[u]: if dist[u] + w < dist[v]: dist[v] = dist[u] + w; heappush(heap, (dist[v], v))}}","","adv_graphs::python"
"Cloze","Union-Find init: {{c1::parent = list(range(n)); rank = [0] * n}}","","adv_graphs::python"
"Cloze","Union-Find find: {{c1::def find(x): if parent[x] != x: parent[x] = find(parent[x]); return parent[x]}}","","adv_graphs::python"
"Cloze","Union-Find union: {{c1::def union(x, y): px, py = find(x), find(y); if px == py: return False; if rank[px] < rank[py]: px, py = py, px; parent[py] = px; if rank[px] == rank[py]: rank[px] += 1; return True}}","","adv_graphs::python"
"Cloze","Kruskal's MST: {{c1::edges.sort(key=lambda x: x[2]); for u, v, w in edges: if union(u, v): mst.append((u, v, w))}}","","adv_graphs::python"
"Basic","Problem asks for 'shortest path with weights'. What approach?","Dijkstra's if non-negative, Bellman-Ford otherwise","adv_graphs::pattern"
"Basic","Problem involves 'negative edges'. What approach?","Bellman-Ford","adv_graphs::pattern"
"Basic","Problem asks for 'minimum spanning tree'. What approach?","Kruskal's (edge-based) or Prim's (vertex-based)","adv_graphs::pattern"
"Basic","Problem needs 'dynamic connectivity'. What structure?","Union-Find","adv_graphs::pattern"
"Basic","Problem asks to 'detect cycle in undirected graph'. What approach?","Union-Find: cycle if union returns same parent","adv_graphs::pattern"
"Basic","Problem asks for 'ordering with dependencies'. What approach?","Topological sort (Kahn's or DFS)","adv_graphs::pattern"
"Basic","Problem involves 'cheapest flights with k stops'. What approach?","Bellman-Ford limited to k+1 iterations","adv_graphs::pattern"
"Cloze","Network delay time: {{c1::Dijkstra's from source, return max distance or -1 if unreachable}}","","adv_graphs::code"
"Cloze","Cheapest flights within K stops: {{c1::prices = [inf] * n; prices[src] = 0; for _ in range(k + 1): temp = prices.copy(); for u, v, w in flights: temp[v] = min(temp[v], prices[u] + w); prices = temp}}","","adv_graphs::code"
"Cloze","Min cost to connect points - Prim's: {{c1::heap = [(0, 0)]; visited = set(); while len(visited) < n: cost, u = heappop(heap); if u in visited: continue; visited.add(u); total += cost; for v with dist d: if v not in visited: heappush(heap, (d, v))}}","","adv_graphs::code"
"Cloze","Swim in rising water: {{c1::binary search on time t, BFS/DFS to check path}}","","adv_graphs::code"
"Cloze","Swim in rising water alt: {{c1::Dijkstra's where edge weight is max(grid[u], grid[v])}}","","adv_graphs::code"
"Cloze","Alien dictionary - build graph: {{c1::for adjacent words, find first different char, add edge}}","","adv_graphs::code"
"Cloze","Alien dictionary - topological sort: {{c1::Kahn's algorithm with indegree tracking}}","","adv_graphs::code"
"Cloze","Redundant connection: {{c1::for u, v in edges: if not union(u, v): return [u, v]}}","","adv_graphs::code"
"Cloze","Number of connected components: {{c1::count = n; for edge: if union(u, v): count -= 1; return count}}","","adv_graphs::code"
"Cloze","Accounts merge - map email to id: {{c1::union all emails in same account, group by root}}","","adv_graphs::code"
"Basic","Network Delay Time: Time for all nodes to receive signal. Approach?","Dijkstra's from source, return max distance","adv_graphs::problem"
"Basic","Cheapest Flights Within K Stops: Min cost with stop limit. Approach?","Bellman-Ford with k+1 iterations","adv_graphs::problem"
"Basic","Min Cost to Connect All Points: MST of points. Approach?","Prim's or Kruskal's with Manhattan distances","adv_graphs::problem"
"Basic","Swim in Rising Water: Min time to reach corner. Approach?","Binary search + BFS, or Dijkstra's on max value path","adv_graphs::problem"
"Basic","Alien Dictionary: Order of letters from sorted alien words. Approach?","Build graph from adjacent word comparisons, topological sort","adv_graphs::problem"
"Basic","Redundant Connection: Find edge causing cycle. Approach?","Union-Find, return first edge that fails union","adv_graphs::problem"
"Basic","Number of Connected Components: Count components. Approach?","Union-Find, count = n - successful unions","adv_graphs::problem"
"Basic","Time complexity of Dijkstra's with heap?","O((V + E) log V)","adv_graphs::complexity"
"Basic","Time complexity of Bellman-Ford?","O(V * E)","adv_graphs::complexity"
"Basic","Time complexity of Kruskal's MST?","O(E log E)","adv_graphs::complexity"
"Basic","Time complexity of Union-Find operations?","O(α(n)) ≈ O(1) amortized","adv_graphs::complexity"
"Basic","Space complexity of Dijkstra's?","O(V) for distances + O(E) for heap","adv_graphs::complexity"
"Basic","Why can't Dijkstra's handle negative edges?","Once a node is visited with min distance, it's final; negative edges could improve it","adv_graphs::concept"
"Basic","Why does Bellman-Ford need V-1 iterations?","Longest simple path has V-1 edges; each iteration relaxes one edge on path","adv_graphs::concept"
"Basic","What's the difference between Kruskal's and Prim's?","Kruskal's: edge-centric, uses Union-Find. Prim's: vertex-centric, grows tree","adv_graphs::concept"
"Basic","Why use path compression in Union-Find?","Flattens tree structure, makes future finds O(1)","adv_graphs::concept"
"Basic","Why use union by rank?","Keeps tree balanced, prevents O(n) chain","adv_graphs::concept"
"Cloze","Course schedule - Kahn's: {{c1::start with indegree 0 nodes, decrement neighbors' indegree}}","","adv_graphs::code"
"Cloze","Course schedule - cycle check: {{c1::return len(result) == numCourses}}","","adv_graphs::code"
"Basic","Course Schedule II: Order to take courses. Approach?","Topological sort with Kahn's algorithm","adv_graphs::problem"
"Cloze","Path with minimum effort: {{c1::Dijkstra's where effort = max(current_effort, abs(height_diff))}}","","adv_graphs::code"
"Basic","Path With Minimum Effort: Min max-difference path. Approach?","Dijkstra's tracking max effort on path","adv_graphs::problem"
