Type,Front,Back,Tags
"Cloze","A {{c1::binary tree}} has at most two children per node","","trees::concept"
"Cloze","A {{c1::binary search tree}} has left < root < right property","","trees::concept"
"Cloze","Tree {{c1::height}} is longest path from root to leaf","","trees::concept"
"Cloze","Tree {{c1::depth}} of a node is distance from root","","trees::concept"
"Cloze","A {{c1::balanced}} tree has height O(log n)","","trees::concept"
"Cloze","A {{c1::complete}} binary tree has all levels full except possibly last (filled left to right)","","trees::concept"
"Cloze","A {{c1::full}} binary tree has every node with 0 or 2 children","","trees::concept"
"Cloze","A {{c1::perfect}} binary tree has all levels completely full","","trees::concept"
"Cloze","{{c1::Inorder}} traversal visits left, root, right","","trees::concept"
"Cloze","{{c1::Preorder}} traversal visits root, left, right","","trees::concept"
"Cloze","{{c1::Postorder}} traversal visits left, right, root","","trees::concept"
"Cloze","{{c1::Level order}} traversal visits level by level (BFS)","","trees::concept"
"Cloze","Inorder traversal of BST gives {{c1::sorted}} order","","trees::concept"
"Cloze","TreeNode definition: {{c1::class TreeNode: def __init__(self, val=0, left=None, right=None): self.val = val; self.left = left; self.right = right}}","","trees::python"
"Cloze","Import deque for BFS: {{c1::from collections import deque}}","","trees::python"
"Cloze","Create deque with root: {{c1::queue = deque([root])}}","","trees::python"
"Cloze","BFS pop from left: {{c1::node = queue.popleft()}}","","trees::python"
"Cloze","BFS add children: {{c1::if node.left: queue.append(node.left)}}","","trees::python"
"Cloze","Check if leaf: {{c1::if not node.left and not node.right}}","","trees::python"
"Cloze","Get max of two: {{c1::max(a, b)}}","","trees::python"
"Basic","Problem asks for 'tree traversal'. What approaches?","DFS (recursive/stack) or BFS (queue)","trees::pattern"
"Basic","Problem asks for 'level by level'. What approach?","BFS with queue, track level size","trees::pattern"
"Basic","Problem asks for 'tree height/depth'. What approach?","DFS returning max depth, or BFS counting levels","trees::pattern"
"Basic","Problem involves 'path sum'. What approach?","DFS tracking current sum","trees::pattern"
