Type,Front,Back,Tags
"Cloze","{{c1::Dynamic programming}} solves problems by combining solutions to subproblems","","dp_1d::concept"
"Cloze","DP requires {{c1::optimal substructure}} and {{c2::overlapping subproblems}}","","dp_1d::concept"
"Cloze","{{c1::Optimal substructure}}: optimal solution contains optimal solutions to subproblems","","dp_1d::concept"
"Cloze","{{c1::Overlapping subproblems}}: same subproblems solved multiple times","","dp_1d::concept"
"Cloze","{{c1::Top-down}} DP uses recursion with memoization","","dp_1d::concept"
"Cloze","{{c1::Bottom-up}} DP uses iteration filling table","","dp_1d::concept"
"Cloze","{{c1::State}} in DP represents the subproblem being solved","","dp_1d::concept"
"Cloze","{{c1::Transition}} is the recurrence relation between states","","dp_1d::concept"
"Cloze","{{c1::Base case}} is the simplest subproblem with known answer","","dp_1d::concept"
"Cloze","DP with 1D state has {{c1::O(n)}} space typically","","dp_1d::complexity"
"Cloze","Import lru_cache: {{c1::from functools import lru_cache}}","","dp_1d::python"
"Cloze","Use memoization decorator: {{c1::@lru_cache(maxsize=None)}}","","dp_1d::python"
"Cloze","Clear lru_cache: {{c1::func.cache_clear()}}","","dp_1d::python"
"Cloze","Manual memoization: {{c1::memo = {}; if n in memo: return memo[n]; ... memo[n] = result; return result}}","","dp_1d::python"
"Cloze","Initialize DP array: {{c1::dp = [0] * (n + 1)}}","","dp_1d::python"
"Cloze","Initialize with infinity: {{c1::dp = [float('inf')] * (n + 1)}}","","dp_1d::python"
"Basic","Problem asks for 'number of ways'. What approach?","DP with counting transitions","dp_1d::pattern"
"Basic","Problem asks for 'minimum/maximum'. What approach?","DP with min/max transitions","dp_1d::pattern"
"Basic","Problem structure is 'make decisions at each step'. What approach?","DP with state for each position","dp_1d::pattern"
"Basic","Problem says 'reach end with constraints'. What approach?","DP tracking state at each position","dp_1d::pattern"
"Basic","Problem has 'Fibonacci-like' structure. What approach?","DP with dp[i] = dp[i-1] + dp[i-2]","dp_1d::pattern"
"Basic","Problem asks 'can it be done'. What approach?","DP with boolean states","dp_1d::pattern"
"Basic","How to identify DP state?","What information is needed to make the next decision?","dp_1d::pattern"
"Basic","How to identify DP transition?","How does current state relate to previous states?","dp_1d::pattern"
"Cloze","Climbing stairs: {{c1::dp[i] = dp[i-1] + dp[i-2]}}","","dp_1d::code"
"Cloze","Climbing stairs base: {{c1::dp[0] = 1; dp[1] = 1}}","","dp_1d::code"
"Cloze","Climbing stairs space optimized: {{c1::prev, curr = 1, 1; for i in range(2, n+1): prev, curr = curr, prev + curr}}","","dp_1d::code"
"Cloze","House robber: {{c1::dp[i] = max(dp[i-1], dp[i-2] + nums[i])}}","","dp_1d::code"
"Cloze","House robber meaning: {{c1::max of skip current (dp[i-1]) or rob current (dp[i-2] + nums[i])}}","","dp_1d::code"
"Cloze","House robber II (circular): {{c1::max(rob(nums[:-1]), rob(nums[1:]))}}","","dp_1d::code"
"Cloze","Coin change: {{c1::dp[amount] = min(dp[amount], dp[amount - coin] + 1)}}","","dp_1d::code"
"Cloze","Coin change base: {{c1::dp[0] = 0; dp[1..amount] = infinity}}","","dp_1d::code"
"Cloze","Coin change - no solution: {{c1::return dp[amount] if dp[amount] != float('inf') else -1}}","","dp_1d::code"
"Cloze","Longest increasing subsequence: {{c1::dp[i] = max(dp[j] + 1 for j < i if nums[j] < nums[i])}}","","dp_1d::code"
"Cloze","LIS with binary search: {{c1::for num in nums: pos = bisect_left(tails, num); if pos == len(tails): tails.append(num); else: tails[pos] = num}}","","dp_1d::code"
"Cloze","Word break: {{c1::dp[i] = any(dp[j] and s[j:i] in wordSet for j in range(i))}}","","dp_1d::code"
"Cloze","Maximum subarray (Kadane): {{c1::curr_sum = max(num, curr_sum + num); max_sum = max(max_sum, curr_sum)}}","","dp_1d::code"
"Cloze","Maximum product subarray: {{c1::max_prod = min_prod = result = nums[0]; for num in nums[1:]: if num < 0: max_prod, min_prod = min_prod, max_prod; max_prod = max(num, max_prod * num); min_prod = min(num, min_prod * num)}}","","dp_1d::code"
"Cloze","Decode ways: {{c1::if s[i] != '0': dp[i] += dp[i-1]; if 10 <= int(s[i-1:i+1]) <= 26: dp[i] += dp[i-2]}}","","dp_1d::code"
"Cloze","Partition equal subset sum: {{c1::dp[j] = dp[j] or dp[j - num]}} (process in reverse)","","dp_1d::code"
"Cloze","Perfect squares: {{c1::dp[n] = min(dp[n - i*i] + 1 for i where i*i <= n)}}","","dp_1d::code"
"Basic","Climbing Stairs: Ways to climb n stairs (1 or 2 steps). Approach?","DP: dp[i] = dp[i-1] + dp[i-2] (Fibonacci)","dp_1d::problem"
"Basic","House Robber: Max money without adjacent houses. Approach?","DP: dp[i] = max(skip, rob current + dp[i-2])","dp_1d::problem"
"Basic","House Robber II: Circular houses. Approach?","Max of robbing houses 0..n-2 or 1..n-1","dp_1d::problem"
"Basic","Coin Change: Min coins for amount. Approach?","DP: dp[amount] = min over all coins of dp[amount-coin] + 1","dp_1d::problem"
"Basic","Longest Increasing Subsequence: Length of LIS. Approach?","DP O(n²) or binary search O(n log n)","dp_1d::problem"
"Basic","Word Break: Can segment string into words. Approach?","DP: dp[i] = true if any valid split exists","dp_1d::problem"
"Basic","Maximum Subarray: Max sum contiguous subarray. Approach?","Kadane's: track current sum, reset if negative","dp_1d::problem"
"Basic","Maximum Product Subarray: Max product subarray. Approach?","Track both max and min (negative * negative)","dp_1d::problem"
"Basic","Decode Ways: Ways to decode digit string. Approach?","DP: check single digit (1-9) and double digit (10-26)","dp_1d::problem"
"Basic","Partition Equal Subset Sum: Can partition into two equal subsets. Approach?","0/1 knapsack with target = sum/2","dp_1d::problem"
"Basic","Time complexity of Climbing Stairs?","O(n)","dp_1d::complexity"
"Basic","Time complexity of House Robber?","O(n)","dp_1d::complexity"
"Basic","Time complexity of Coin Change?","O(amount * coins)","dp_1d::complexity"
"Basic","Time complexity of LIS with DP?","O(n²)","dp_1d::complexity"
"Basic","Time complexity of LIS with binary search?","O(n log n)","dp_1d::complexity"
"Basic","Time complexity of Word Break?","O(n² * m) where m is avg word length","dp_1d::complexity"
"Basic","Space complexity of 1D DP?","O(n), can often optimize to O(1)","dp_1d::complexity"
"Basic","When can DP space be optimized to O(1)?","When current state only depends on constant previous states","dp_1d::concept"
"Basic","Why track both max and min in product subarray?","Negative * negative = positive; min can become max","dp_1d::concept"
"Basic","Why process backwards in subset sum DP?","To avoid using same element multiple times (0/1 knapsack)","dp_1d::concept"
"Basic","What's the relationship between top-down and bottom-up DP?","Same recurrence; top-down is recursive, bottom-up is iterative","dp_1d::concept"
"Cloze","Min cost climbing stairs: {{c1::dp[i] = min(dp[i-1], dp[i-2]) + cost[i]}}","","dp_1d::code"
"Basic","Min Cost Climbing Stairs: Min cost to climb. Approach?","DP: dp[i] = min(dp[i-1], dp[i-2]) + cost[i]","dp_1d::problem"
"Cloze","Combination sum IV: {{c1::dp[target] = sum(dp[target - num] for num in nums if num <= target)}}","","dp_1d::code"
"Basic","Combination Sum IV: Count combinations summing to target. Approach?","DP: dp[i] = sum of dp[i-num] for each num","dp_1d::problem"
"Cloze","Palindrome substrings count: {{c1::expand around center for each position}}","","dp_1d::code"
"Basic","Palindromic Substrings: Count palindrome substrings. Approach?","Expand around center (odd and even length)","dp_1d::problem"
"Cloze","Complete House Robber Implementation:<br>def rob(nums):<br>    if not nums: return 0<br>    {{c1::if len(nums) == 1: return nums[0]}}<br>    {{c2::prev2, prev1 = 0, 0}}<br>    for num in nums:<br>        {{c3::curr = max(prev1, prev2 + num)}}<br>        {{c4::prev2, prev1 = prev1, curr}}<br>    return prev1","","dp_1d::implementation"
"Cloze","Complete Coin Change Implementation:<br>def coinChange(coins, amount):<br>    {{c1::dp = [float('inf')] * (amount + 1)}}<br>    {{c2::dp[0] = 0}}<br>    {{c3::for i in range(1, amount + 1):}}<br>        for coin in coins:<br>            {{c4::if coin <= i:}}<br>                {{c5::dp[i] = min(dp[i], dp[i - coin] + 1)}}<br>    {{c6::return dp[amount] if dp[amount] != float('inf') else -1}}","","dp_1d::implementation"
