Type,Front,Back,Tags
"Cloze","{{c1::GCD}} (Greatest Common Divisor) is largest number dividing both","","math_geometry::concept"
"Cloze","{{c1::LCM}} = (a * b) / GCD(a, b)","","math_geometry::concept"
"Cloze","Euclidean algorithm: GCD(a, b) = GCD(b, {{c1::a % b}})","","math_geometry::concept"
"Cloze","A number is prime if divisible only by {{c1::1 and itself}}","","math_geometry::concept"
"Cloze","Check prime up to {{c1::sqrt(n)}}","","math_geometry::concept"
"Cloze","{{c1::Sieve of Eratosthenes}} finds all primes up to n in O(n log log n)","","math_geometry::concept"
"Cloze","{{c1::Modular arithmetic}}: (a + b) % m = ((a % m) + (b % m)) % m","","math_geometry::concept"
"Cloze","Modular multiplication: (a * b) % m = ((a % m) * (b % m)) % m","","math_geometry::concept"
"Cloze","{{c1::Fast exponentiation}}: compute a^n in O(log n)","","math_geometry::concept"
"Cloze","Manhattan distance: {{c1::|x1 - x2| + |y1 - y2|}}","","math_geometry::concept"
"Cloze","Euclidean distance: {{c1::sqrt((x1-x2)² + (y1-y2)²)}}","","math_geometry::concept"
"Cloze","Import math: {{c1::import math}}","","math_geometry::python"
"Cloze","GCD in Python: {{c1::math.gcd(a, b)}}","","math_geometry::python"
"Cloze","LCM in Python: {{c1::math.lcm(a, b)}} (Python 3.9+) or {{c2::a * b // math.gcd(a, b)}}","","math_geometry::python"
"Cloze","Square root: {{c1::math.sqrt(x)}} or {{c2::x ** 0.5}}","","math_geometry::python"
"Cloze","Integer square root: {{c1::math.isqrt(x)}} (Python 3.8+)","","math_geometry::python"
"Cloze","Floor: {{c1::math.floor(x)}} or {{c2::x // 1}}","","math_geometry::python"
"Cloze","Ceiling: {{c1::math.ceil(x)}} or {{c2::-(-x // 1)}}","","math_geometry::python"
"Cloze","Absolute value: {{c1::abs(x)}}","","math_geometry::python"
"Cloze","Power with modulo: {{c1::pow(base, exp, mod)}}","","math_geometry::python"
"Cloze","Factorial: {{c1::math.factorial(n)}}","","math_geometry::python"
"Cloze","Combinations: {{c1::math.comb(n, k)}} (Python 3.8+)","","math_geometry::python"
"Cloze","Permutations: {{c1::math.perm(n, k)}} (Python 3.8+)","","math_geometry::python"
"Cloze","Infinity: {{c1::float('inf')}}","","math_geometry::python"
"Basic","Problem involves 'divisibility'. What to consider?","GCD, prime factorization","math_geometry::pattern"
"Basic","Problem asks for 'count primes'. What approach?","Sieve of Eratosthenes","math_geometry::pattern"
"Basic","Problem involves 'large power with modulo'. What approach?","Fast exponentiation: pow(base, exp, mod)","math_geometry::pattern"
"Basic","Problem involves 'points and lines'. What to consider?","Slopes, cross product for collinearity","math_geometry::pattern"
"Basic","Problem asks for 'closest points'. What approach?","Compare squared distances (avoid sqrt)","math_geometry::pattern"
"Basic","Problem involves 'detect cycle in sequence'. What approach?","Floyd's cycle detection","math_geometry::pattern"
"Basic","Problem involves 'matrix rotation'. What approach?","Transpose then reverse rows","math_geometry::pattern"
"Cloze","Rotate image 90° clockwise: {{c1::transpose (swap i,j), then reverse each row}}","","math_geometry::code"
"Cloze","Transpose matrix: {{c1::for i in range(n): for j in range(i+1, n): matrix[i][j], matrix[j][i] = matrix[j][i], matrix[i][j]}}","","math_geometry::code"
"Cloze","Reverse row: {{c1::matrix[i].reverse()}} or {{c2::matrix[i] = matrix[i][::-1]}}","","math_geometry::code"
"Cloze","Spiral order - boundaries: {{c1::top, bottom, left, right = 0, m-1, 0, n-1}}","","math_geometry::code"
"Cloze","Spiral order - traverse: {{c1::go right, down, left, up; shrink boundaries}}","","math_geometry::code"
"Cloze","Set matrix zeros - mark: {{c1::use first row/col as markers, track if they were originally zero}}","","math_geometry::code"
"Cloze","Happy number - detect cycle: {{c1::Floyd's: slow = sum_digits(slow); fast = sum_digits(sum_digits(fast))}}","","math_geometry::code"
"Cloze","Happy number - digit sum: {{c1::def digit_sum(n): return sum(int(d)**2 for d in str(n))}}","","math_geometry::code"
"Cloze","Plus one - handle carry: {{c1::for i in range(len(digits)-1, -1, -1): if digits[i] < 9: digits[i] += 1; return digits; digits[i] = 0; return [1] + digits}}","","math_geometry::code"
"Cloze","Pow(x, n) recursive: {{c1::if n < 0: return 1 / pow(x, -n); if n == 0: return 1; half = pow(x, n // 2); return half * half * (x if n % 2 else 1)}}","","math_geometry::code"
"Cloze","Pow(x, n) iterative: {{c1::result = 1; while n: if n & 1: result *= x; x *= x; n >>= 1}}","","math_geometry::code"
"Cloze","Multiply strings - digit by digit: {{c1::result[i + j + 1] += int(num1[i]) * int(num2[j])}}","","math_geometry::code"
"Cloze","Sieve of Eratosthenes: {{c1::is_prime = [True] * (n+1); for i in range(2, isqrt(n)+1): if is_prime[i]: for j in range(i*i, n+1, i): is_prime[j] = False}}","","math_geometry::code"
"Cloze","GCD recursive: {{c1::def gcd(a, b): return a if b == 0 else gcd(b, a % b)}}","","math_geometry::code"
"Cloze","Check collinear points: {{c1::(y2-y1)*(x3-x2) == (y3-y2)*(x2-x1)}} to avoid division","","math_geometry::code"
"Cloze","Detect squares - check diagonal: {{c1::for px, py in points with same x or y: check if forms square}}","","math_geometry::code"
"Basic","Rotate Image: Rotate matrix 90° clockwise in-place. Approach?","Transpose then reverse each row","math_geometry::problem"
"Basic","Spiral Matrix: Return elements in spiral order. Approach?","Track boundaries, traverse right/down/left/up, shrink","math_geometry::problem"
"Basic","Set Matrix Zeroes: Zero entire row/col if cell is 0. Approach?","Use first row/col as markers, process in reverse","math_geometry::problem"
"Basic","Happy Number: Does digit square sum eventually reach 1. Approach?","Floyd's cycle detection or set to track seen","math_geometry::problem"
"Basic","Plus One: Add 1 to number as digit array. Approach?","Handle carry from end, prepend 1 if needed","math_geometry::problem"
"Basic","Pow(x, n): Implement power function. Approach?","Fast exponentiation: x^n = (x^(n/2))^2","math_geometry::problem"
"Basic","Multiply Strings: Multiply as strings. Approach?","Grade school multiplication, digit by digit","math_geometry::problem"
"Basic","Count Primes: Count primes less than n. Approach?","Sieve of Eratosthenes","math_geometry::problem"
"Basic","Time complexity of Rotate Image?","O(n²)","math_geometry::complexity"
"Basic","Time complexity of Spiral Matrix?","O(m * n)","math_geometry::complexity"
"Basic","Time complexity of Pow(x, n)?","O(log n)","math_geometry::complexity"
"Basic","Time complexity of Multiply Strings?","O(m * n) where m, n are string lengths","math_geometry::complexity"
"Basic","Time complexity of Sieve of Eratosthenes?","O(n log log n)","math_geometry::complexity"
"Basic","Space complexity of Set Matrix Zeroes optimal?","O(1) using first row/col as markers","math_geometry::complexity"
"Basic","Why check only up to sqrt(n) for primality?","If n = a * b and a <= b, then a <= sqrt(n)","math_geometry::concept"
"Basic","Why use squared distance instead of Euclidean?","Avoids floating point errors and sqrt computation","math_geometry::concept"
"Basic","How to avoid division when checking slopes?","Cross multiply: (y2-y1)/(x2-x1) = (y3-y2)/(x3-x2) becomes (y2-y1)*(x3-x2) = (y3-y2)*(x2-x1)","math_geometry::concept"
"Cloze","Valid square - four points: {{c1::check distances: 4 equal sides, 2 equal diagonals, diagonals > sides}}","","math_geometry::code"
"Basic","Valid Square: Check if four points form square. Approach?","Calculate all 6 distances: 4 equal sides, 2 equal diagonals","math_geometry::problem"
"Cloze","Robot bounded in circle: {{c1::after one instruction cycle, returns to origin OR not facing north}}","","math_geometry::code"
"Basic","Robot Bounded In Circle: Does robot stay bounded. Approach?","Simulate one cycle: bounded if at origin or not facing north","math_geometry::problem"
