Type,Front,Back,Tags
"Cloze","Stack follows {{c1::LIFO}} (Last In First Out) order","","stack::concept"
"Cloze","Stack push operation is {{c1::O(1)}} time","","stack::complexity"
"Cloze","Stack pop operation is {{c1::O(1)}} time","","stack::complexity"
"Cloze","Stack peek/top operation is {{c1::O(1)}} time","","stack::complexity"
"Cloze","A {{c1::monotonic stack}} maintains elements in sorted order (increasing or decreasing)","","stack::concept"
"Cloze","Monotonic {{c1::decreasing}} stack pops elements smaller than current","","stack::concept"
"Cloze","Monotonic {{c1::increasing}} stack pops elements larger than current","","stack::concept"
"Cloze","Monotonic stack is used to find {{c1::next greater}} or {{c1::next smaller}} element","","stack::concept"
"Cloze","{{c1::Call stack}} tracks function calls and local variables during recursion","","stack::concept"
"Cloze","Python list as stack - push: {{c1::stack.append(x)}}","","stack::python"
"Cloze","Python list as stack - pop: {{c1::stack.pop()}}","","stack::python"
"Cloze","Python list as stack - peek: {{c1::stack[-1]}}","","stack::python"
"Cloze","Check if stack empty: {{c1::if not stack}} or {{c2::len(stack) == 0}}","","stack::python"
"Cloze","Import deque for stack: {{c1::from collections import deque}}","","stack::python"
"Cloze","deque as stack - push: {{c1::stack.append(x)}}","","stack::python"
"Cloze","deque as stack - pop: {{c1::stack.pop()}}","","stack::python"
"Cloze","Check if char is digit: {{c1::c.isdigit()}}","","stack::python"
"Cloze","Convert string to int: {{c1::int(s)}}","","stack::python"
"Cloze","Integer division toward zero: {{c1::int(a / b)}} not a // b","","stack::python"
"Cloze","Get ASCII value: {{c1::ord(c)}}","","stack::python"
"Cloze","Get char from ASCII: {{c1::chr(n)}}","","stack::python"
"Basic","Problem asks to 'match brackets/parentheses'. What structure?","Stack","stack::pattern"
"Basic","Problem asks for 'next greater element'. What approach?","Monotonic decreasing stack","stack::pattern"
"Basic","Problem asks for 'next smaller element'. What approach?","Monotonic increasing stack","stack::pattern"
"Basic","Problem involves 'evaluating expression'. What structure?","Stack (one for numbers, optionally one for operators)","stack::pattern"
"Basic","Problem asks for 'largest rectangle in histogram'. What approach?","Monotonic increasing stack","stack::pattern"
"Basic","Problem needs to 'reverse' something. What structure often helps?","Stack","stack::pattern"
"Basic","Problem involves 'undo operations'. What structure?","Stack","stack::pattern"
"Basic","Problem asks for 'min element in stack in O(1)'. What approach?","Two stacks: main stack and min stack","stack::pattern"
"Basic","Problem has 'nested structure' like nested lists. What structure?","Stack","stack::pattern"
"Basic","Problem asks to 'decode nested string'. What approach?","Stack to track nested levels","stack::pattern"
"Cloze","Valid parentheses - matching pairs: {{c1::pairs = {')': '(', ']': '[', '}': '{'}}}","","stack::code"
"Cloze","Valid parentheses - check match: {{c1::if not stack or stack[-1] != pairs[c]: return False}}","","stack::code"
"Cloze","Valid parentheses - final check: {{c1::return len(stack) == 0}}","","stack::code"
"Cloze","Min Stack - push to min stack: {{c1::if not min_stack or val <= min_stack[-1]: min_stack.append(val)}}","","stack::code"
"Cloze","Min Stack - pop from min stack: {{c1::if val == min_stack[-1]: min_stack.pop()}}","","stack::code"
"Cloze","Evaluate RPN - operators: {{c1::ops = {'+': lambda a,b: a+b, '-': lambda a,b: a-b, '*': lambda a,b: a*b, '/': lambda a,b: int(a/b)}}}","","stack::code"
"Cloze","Evaluate RPN - apply operator: {{c1::b, a = stack.pop(), stack.pop(); stack.append(ops[token](a, b))}}","","stack::code"
"Cloze","Next greater element - monotonic stack: {{c1::while stack and nums[stack[-1]] < nums[i]: result[stack.pop()] = nums[i]}}","","stack::code"
"Cloze","Daily temperatures - store indices: {{c1::while stack and temps[stack[-1]] < temps[i]: j = stack.pop(); result[j] = i - j}}","","stack::code"
"Cloze","Generate parentheses - backtrack condition: {{c1::if open < n: backtrack(open + 1, close)}}","","stack::code"
"Cloze","Generate parentheses - close condition: {{c1::if close < open: backtrack(open, close + 1)}}","","stack::code"
"Cloze","Largest rectangle histogram - area: {{c1::height * (right - left - 1)}} where right and left are boundaries","","stack::code"
"Cloze","Largest rectangle histogram - width with sentinel: {{c1::i - stack[-1] - 1}}","","stack::code"
"Cloze","Car fleet - time to reach: {{c1::time = (target - position) / speed}}","","stack::code"
"Cloze","Basic calculator - handle sign: {{c1::if c == '-': sign = -sign}}","","stack::code"
"Cloze","Basic calculator - handle parenthesis: {{c1::stack.append(result); stack.append(sign); result = 0; sign = 1}}","","stack::code"
"Cloze","Decode string - store state: {{c1::stack.append((current_string, current_num))}}","","stack::code"
"Basic","Valid Parentheses: Check if brackets match. Approach?","Stack, push open brackets, pop and match for close brackets","stack::problem"
"Basic","Min Stack: Stack with O(1) getMin. Approach?","Maintain parallel min stack or store pairs (val, min_so_far)","stack::problem"
"Basic","Evaluate Reverse Polish Notation: Evaluate postfix expression. Approach?","Stack for operands, pop two for each operator","stack::problem"
"Basic","Daily Temperatures: Days until warmer temp. Approach?","Monotonic decreasing stack storing indices","stack::problem"
"Basic","Generate Parentheses: All valid n-pair combinations. Approach?","Backtracking with stack/string, track open and close counts","stack::problem"
"Basic","Largest Rectangle in Histogram: Largest rectangular area. Approach?","Monotonic increasing stack, calculate area when popping","stack::problem"
"Basic","Car Fleet: How many fleets reach target. Approach?","Sort by position, stack to track fleets by time","stack::problem"
"Basic","Basic Calculator: Evaluate expression with +, -, (). Approach?","Stack to handle parentheses and signs","stack::problem"
"Basic","Time complexity of Valid Parentheses?","O(n)","stack::complexity"
"Basic","Space complexity of Valid Parentheses?","O(n) worst case (all open brackets)","stack::complexity"
"Basic","Time complexity of Daily Temperatures?","O(n) - each element pushed and popped at most once","stack::complexity"
"Basic","Time complexity of Largest Rectangle in Histogram?","O(n)","stack::complexity"
"Basic","Time complexity of Generate Parentheses?","O(4^n / sqrt(n)) - Catalan number","stack::complexity"
"Basic","Why use monotonic stack for next greater element?","Efficiently finds next greater by maintaining decreasing order","stack::concept"
"Basic","What's stored in stack for histogram problem?","Indices of bars, maintaining increasing height order","stack::concept"
"Basic","Why add sentinel values (0) to histogram stack?","To handle remaining elements and simplify boundary cases","stack::concept"
"Cloze","Simplify path - handle '..': {{c1::if stack: stack.pop()}}","","stack::code"
"Cloze","Simplify path - skip empty and '.': {{c1::if part and part != '.'}}","","stack::code"
"Basic","Simplify Unix Path: Convert path like '/a/./b/../c' to '/a/c'. Approach?","Stack for directories, pop for '..', skip '.' and empty","stack::problem"
"Cloze","Remove K digits - monotonic stack: {{c1::while k and stack and stack[-1] > digit: stack.pop(); k -= 1}}","","stack::code"
"Basic","Remove K Digits: Remove k digits for smallest number. Approach?","Monotonic increasing stack, remove larger digits before smaller","stack::problem"
"Cloze","Asteroid collision - same direction or moving apart: {{c1::if asteroid > 0 or not stack or stack[-1] < 0}}","","stack::code"
"Basic","Asteroid Collision: Asteroids collide if opposite directions. Approach?","Stack, only collision when stack top is + and current is -","stack::problem"
"Cloze","Online stock span - count days: {{c1::while stack and stack[-1][0] <= price: span += stack.pop()[1]}}","","stack::code"
"Basic","Online Stock Span: Count consecutive days with price <= today. Approach?","Monotonic stack storing (price, span) pairs","stack::problem"
