Type,Front,Back,Tags
"Cloze","{{c1::Greedy}} makes locally optimal choice at each step","","greedy::concept"
"Cloze","Greedy works when local optimum leads to {{c1::global optimum}}","","greedy::concept"
"Cloze","Greedy requires {{c1::greedy choice property}} and {{c2::optimal substructure}}","","greedy::concept"
"Cloze","{{c1::Greedy choice property}}: local optimal leads to global optimal","","greedy::concept"
"Cloze","Greedy often involves {{c1::sorting}} to process in optimal order","","greedy::concept"
"Cloze","Greedy is typically {{c1::O(n log n)}} due to sorting","","greedy::complexity"
"Cloze","Greedy vs DP: greedy makes {{c1::one}} choice, DP considers {{c2::all}} choices","","greedy::concept"
"Cloze","Sort by key: {{c1::arr.sort(key=lambda x: x[0])}}","","greedy::python"
"Cloze","Sort descending: {{c1::arr.sort(reverse=True)}}","","greedy::python"
"Cloze","Enumerate with index: {{c1::for i, val in enumerate(arr)}}","","greedy::python"
"Cloze","Zip two lists: {{c1::for a, b in zip(list1, list2)}}","","greedy::python"
"Cloze","Sum of list: {{c1::sum(arr)}}","","greedy::python"
"Cloze","Max of list: {{c1::max(arr)}}","","greedy::python"
"Basic","Problem says 'maximum number of X possible'. What approach?","Greedy: sort by some criteria, greedily select","greedy::pattern"
"Basic","Problem asks 'minimum to achieve X'. What approach?","Greedy: sort, take optimal at each step","greedy::pattern"
"Basic","Problem involves 'activity selection'. What approach?","Sort by end time, greedily select non-overlapping","greedy::pattern"
"Basic","Problem asks to 'partition into groups'. What approach?","Greedy: sort, assign to group or create new","greedy::pattern"
"Basic","Problem involves 'two pointers on sorted data'. What approach?","Often greedy - pair extremes or process in order","greedy::pattern"
"Basic","How to verify greedy works?","Prove local optimal leads to global optimal (exchange argument)","greedy::pattern"
"Cloze","Jump Game: {{c1::max_reach = max(max_reach, i + nums[i]); if max_reach >= n - 1: return True}}","","greedy::code"
"Cloze","Jump Game - can't proceed: {{c1::if i > max_reach: return False}}","","greedy::code"
"Cloze","Jump Game II: {{c1::if i == current_end: jumps += 1; current_end = farthest}}","","greedy::code"
"Cloze","Jump Game II - track farthest: {{c1::farthest = max(farthest, i + nums[i])}}","","greedy::code"
"Cloze","Gas Station: {{c1::if total_gas >= total_cost: there's a solution; start where surplus > 0}}","","greedy::code"
"Cloze","Gas Station - reset start: {{c1::if tank < 0: start = i + 1; tank = 0}}","","greedy::code"
"Cloze","Hand of Straights - use Counter: {{c1::count = Counter(hand); for num in sorted(count): while count[num] > 0: for i in range(groupSize): if count[num + i] <= 0: return False; count[num + i] -= 1}}","","greedy::code"
"Cloze","Merge triplets - check each: {{c1::for a, b, c in triplets: if a <= target[0] and b <= target[1] and c <= target[2]: can reach max for each position}}","","greedy::code"
"Cloze","Partition labels - last occurrence: {{c1::last = {c: i for i, c in enumerate(s)}}}","","greedy::code"
