Type,Front,Back,Tags
"Cloze","{{c1::Backtracking}} explores all possibilities by building candidates incrementally","","backtracking::concept"
"Cloze","Backtracking {{c1::abandons}} a path when it can't lead to valid solution","","backtracking::concept"
"Cloze","Backtracking uses {{c1::recursion}} with state modification and restoration","","backtracking::concept"
"Cloze","Key steps: {{c1::choose}}, {{c2::explore}}, {{c3::unchoose}}","","backtracking::concept"
"Cloze","Backtracking time is often {{c1::exponential}} - O(2^n) or O(n!)","","backtracking::complexity"
"Cloze","{{c1::Pruning}} eliminates branches that can't lead to valid solutions","","backtracking::concept"
"Cloze","Subsets problem has {{c1::2^n}} possible subsets","","backtracking::complexity"
"Cloze","Permutations problem has {{c1::n!}} possible permutations","","backtracking::complexity"
"Cloze","Combinations C(n,k) has {{c1::n!/(k!(n-k)!)}} combinations","","backtracking::complexity"
"Cloze","Copy list in Python: {{c1::path.copy()}} or {{c2::path[:]}} or {{c3::list(path)}}","","backtracking::python"
"Cloze","Append to result: {{c1::result.append(path.copy())}} not result.append(path)","","backtracking::python"
"Cloze","String concatenation alternative: {{c1::''.join(chars)}}","","backtracking::python"
"Cloze","Check if digit: {{c1::c.isdigit()}}","","backtracking::python"
"Cloze","Phone digits mapping: {{c1::mapping = {'2': 'abc', '3': 'def', '4': 'ghi', ...}}}","","backtracking::python"
"Basic","Problem asks for 'all subsets'. What approach?","Backtracking with include/exclude for each element","backtracking::pattern"
"Basic","Problem asks for 'all permutations'. What approach?","Backtracking with used array or swap method","backtracking::pattern"
"Basic","Problem asks for 'all combinations'. What approach?","Backtracking with start index to avoid duplicates","backtracking::pattern"
"Basic","Problem has 'constraints to satisfy' (N-Queens, Sudoku). What approach?","Backtracking with constraint checking before placement","backtracking::pattern"
"Basic","Problem asks for 'all paths in graph/tree'. What approach?","Backtracking tracking visited nodes","backtracking::pattern"
"Basic","Problem asks to 'partition string'. What approach?","Backtracking trying all split positions","backtracking::pattern"
"Basic","Problem has 'duplicates in input' and wants 'unique results'. What approach?","Sort input, skip consecutive duplicates at same level","backtracking::pattern"
"Basic","Problem asks for 'word search in board'. What approach?","Backtracking with visited marking","backtracking::pattern"
"Cloze","Subsets template: {{c1::def backtrack(start, path): result.append(path.copy()); for i in range(start, len(nums)): path.append(nums[i]); backtrack(i + 1, path); path.pop()}}","","backtracking::code"
"Cloze","Subsets II (with dups) - skip: {{c1::if i > start and nums[i] == nums[i-1]: continue}}","","backtracking::code"
"Cloze","Permutations with used array: {{c1::for i in range(len(nums)): if used[i]: continue; used[i] = True; path.append(nums[i]); backtrack(path); path.pop(); used[i] = False}}","","backtracking::code"
"Cloze","Permutations with swap: {{c1::def backtrack(start): if start == len(nums): result.append(nums.copy()); for i in range(start, len(nums)): nums[start], nums[i] = nums[i], nums[start]; backtrack(start + 1); nums[start], nums[i] = nums[i], nums[start]}}","","backtracking::code"
"Cloze","Permutations II (with dups) - skip: {{c1::if i > 0 and nums[i] == nums[i-1] and not used[i-1]: continue}}","","backtracking::code"
"Cloze","Combinations template: {{c1::def backtrack(start, path): if len(path) == k: result.append(path.copy()); return; for i in range(start, n + 1): path.append(i); backtrack(i + 1, path); path.pop()}}","","backtracking::code"
"Cloze","Combination Sum (reuse allowed): {{c1::for i in range(start, len(candidates)): if candidates[i] > remain: break; path.append(candidates[i]); backtrack(i, path, remain - candidates[i]); path.pop()}}","","backtracking::code"
"Cloze","Combination Sum II (no reuse): {{c1::backtrack(i + 1, ...)}} instead of backtrack(i, ...)","","backtracking::code"
"Cloze","Letter combinations of phone: {{c1::def backtrack(i, path): if i == len(digits): result.append(path); return; for c in mapping[digits[i]]: backtrack(i + 1, path + c)}}","","backtracking::code"
"Cloze","Word search in board - mark visited: {{c1::temp = board[r][c]; board[r][c] = '#'}}","","backtracking::code"
"Cloze","Word search - restore: {{c1::board[r][c] = temp}}","","backtracking::code"
