Type,Front,Back,Tags
"Cloze","Two pointers technique uses {{c1::O(1)}} extra space","","two_pointers::complexity"
"Cloze","Two pointers on sorted array typically achieves {{c1::O(n)}} time","","two_pointers::complexity"
"Cloze","Two pointers avoids {{c1::O(n²)}} brute force by eliminating redundant comparisons","","two_pointers::concept"
"Cloze","{{c1::Opposite ends}} pattern: start pointers at beginning and end, move toward center","","two_pointers::concept"
"Cloze","{{c1::Same direction}} pattern: both pointers move left to right at different speeds","","two_pointers::concept"
"Cloze","{{c1::Fast/slow}} pointer pattern: one moves faster to detect cycles or find middle","","two_pointers::concept"
"Cloze","Two pointers works best on {{c1::sorted}} arrays or when order matters","","two_pointers::concept"
"Cloze","Sort list in Python: {{c1::nums.sort()}} (in-place) or {{c2::sorted(nums)}} (new list)","","two_pointers::python"
"Cloze","Sort with custom key: {{c1::sorted(arr, key=lambda x: x[1])}}","","two_pointers::python"
"Cloze","Sort in reverse: {{c1::sorted(arr, reverse=True)}}","","two_pointers::python"
"Cloze","Reverse list in-place: {{c1::nums.reverse()}} or {{c2::nums[:] = nums[::-1]}}","","two_pointers::python"
"Cloze","Reverse with slicing: {{c1::nums[::-1]}}","","two_pointers::python"
"Cloze","Swap in Python: {{c1::a, b = b, a}}","","two_pointers::python"
"Cloze","Get absolute value: {{c1::abs(x)}}","","two_pointers::python"
"Cloze","String to list of chars: {{c1::list(s)}}","","two_pointers::python"
"Cloze","List of chars to string: {{c1::''.join(chars)}}","","two_pointers::python"
"Cloze","Check if char is alphanumeric: {{c1::c.isalnum()}}","","two_pointers::python"
"Cloze","Convert char to lowercase: {{c1::c.lower()}}","","two_pointers::python"
"Basic","Array is sorted - what technique to consider?","Two pointers or binary search","two_pointers::pattern"
"Basic","Problem asks for 'pair with sum X' in sorted array. Approach?","Two pointers from opposite ends","two_pointers::pattern"
"Basic","Problem asks to 'reverse in-place'. Approach?","Two pointers swapping from ends toward center","two_pointers::pattern"
"Basic","Problem involves 'removing duplicates from sorted array'. Approach?","Slow pointer for write position, fast for reading","two_pointers::pattern"
"Basic","Problem asks for 'container with most water'. Approach?","Two pointers from ends, move the shorter one","two_pointers::pattern"
"Basic","Problem asks for 'triplet with sum X'. Approach?","Sort + fix first element + two pointers on rest","two_pointers::pattern"
"Basic","Problem needs to 'check if palindrome'. Approach?","Two pointers from opposite ends comparing chars","two_pointers::pattern"
"Basic","Problem says 'merge two sorted arrays'. Approach?","Two pointers, one per array, compare and advance","two_pointers::pattern"
"Basic","Problem needs 'partition array around pivot'. Approach?","Two pointers swapping elements to correct side","two_pointers::pattern"
"Basic","Problem asks to 'move zeros to end'. Approach?","Slow pointer for next non-zero position, fast scans","two_pointers::pattern"
"Cloze","Two Sum II (sorted) - move pointers: if sum < target {{c1::left += 1}} else {{c2::right -= 1}}","","two_pointers::code"
"Cloze","Two Sum II - opposite ends setup: {{c1::left, right = 0, len(nums) - 1}}","","two_pointers::code"
"Cloze","Valid Palindrome - skip non-alphanumeric: {{c1::while left < right and not s[left].isalnum(): left += 1}}","","two_pointers::code"
"Cloze","3Sum - skip duplicates for first element: {{c1::if i > 0 and nums[i] == nums[i-1]: continue}}","","two_pointers::code"
"Cloze","3Sum - skip duplicates for second element: {{c1::while left < right and nums[left] == nums[left-1]: left += 1}}","","two_pointers::code"
"Cloze","Container With Most Water - area formula: {{c1::min(height[left], height[right]) * (right - left)}}","","two_pointers::code"
"Cloze","Container With Most Water - move shorter: {{c1::if height[left] < height[right]: left += 1 else: right -= 1}}","","two_pointers::code"
"Cloze","Remove duplicates - write position: {{c1::if nums[i] != nums[write_idx - 1]: nums[write_idx] = nums[i]; write_idx += 1}}","","two_pointers::code"
"Cloze","Move zeros - swap non-zero: {{c1::if nums[fast] != 0: nums[slow], nums[fast] = nums[fast], nums[slow]; slow += 1}}","","two_pointers::code"
"Cloze","Reverse string in-place: {{c1::while left < right: s[left], s[right] = s[right], s[left]; left += 1; right -= 1}}","","two_pointers::code"
"Cloze","Trapping rain water - water at position: {{c1::min(left_max, right_max) - height[i]}}","","two_pointers::code"
"Cloze","Trapping rain water - update max: {{c1::left_max = max(left_max, height[left])}}","","two_pointers::code"
"Cloze","Sort colors (Dutch flag) - three pointers: {{c1::low, mid, high = 0, 0, len(nums) - 1}}","","two_pointers::code"
"Cloze","Merge sorted arrays - compare and place: {{c1::if nums1[p1] > nums2[p2]: nums1[p] = nums1[p1]; p1 -= 1}}","","two_pointers::code"
"Basic","Two Sum II: Find pair summing to target in sorted array. Approach?","Two pointers from ends, adjust based on sum comparison","two_pointers::problem"
"Basic","Valid Palindrome: Check if string is palindrome ignoring non-alphanumeric. Approach?","Two pointers from ends, skip non-alphanumeric, compare lowercase","two_pointers::problem"
"Basic","3Sum: Find triplets summing to zero. Approach?","Sort, fix first num, two pointers for remaining two, skip duplicates","two_pointers::problem"
"Basic","Container With Most Water: Max area between lines. Approach?","Two pointers from ends, move shorter line inward","two_pointers::problem"
"Basic","Trapping Rain Water: Water trapped between bars. Approach?","Two pointers tracking left_max and right_max, fill from shorter side","two_pointers::problem"
"Basic","Remove Duplicates from Sorted Array: In-place unique elements. Approach?","Write pointer for unique position, read pointer scans array","two_pointers::problem"
"Basic","Move Zeroes: Move zeros to end maintaining order. Approach?","Write pointer for next non-zero, swap when found","two_pointers::problem"
"Basic","Sort Colors: Sort array of 0,1,2 in-place. Approach?","Dutch National Flag: three pointers for low, mid, high","two_pointers::problem"
"Basic","Time complexity of Two Sum II?","O(n)","two_pointers::complexity"
"Basic","Time complexity of 3Sum?","O(n²) - sort is O(n log n), two pointers for each element is O(n)","two_pointers::complexity"
"Basic","Time complexity of Container With Most Water?","O(n)","two_pointers::complexity"
"Basic","Time complexity of Trapping Rain Water with two pointers?","O(n)","two_pointers::complexity"
"Basic","Space complexity of two pointer solutions?","O(1) extra space (not counting output)","two_pointers::complexity"
"Basic","Why move the shorter line in Container With Most Water?","Moving taller line can only decrease area; moving shorter might increase it","two_pointers::concept"
"Basic","Why does 3Sum need to skip duplicates?","To avoid duplicate triplets in the result","two_pointers::concept"
"Basic","When to use opposite ends vs same direction pointers?","Opposite: searching/comparing extremes. Same: maintaining a window or partition","two_pointers::concept"
"Cloze","4Sum uses {{c1::O(n³)}} time with sorting and two pointers","","two_pointers::complexity"
"Cloze","In-place reverse uses {{c1::O(1)}} space by swapping elements","","two_pointers::complexity"
"Cloze","Squares of sorted array: {{c1::compare abs values}} from both ends","","two_pointers::code"
"Cloze","Squares of sorted array: {{c1::result[k] = nums[right]**2 if abs(nums[right]) > abs(nums[left]) else nums[left]**2}}","","two_pointers::code"
"Basic","Squares of a Sorted Array: Return sorted squares. Approach?","Two pointers from ends comparing absolute values, fill result from end","two_pointers::problem"
"Cloze","Partition array around pivot: {{c1::swap nums[left] with nums[right] when left value > pivot and right value < pivot}}","","two_pointers::code"
"Basic","What's the key insight for trapping rain water?","Water level at any position = min(max_left, max_right) - height","two_pointers::concept"
"Cloze","Boat to save people - pair heaviest with lightest: {{c1::if people[left] + people[right] <= limit: left += 1}}","","two_pointers::code"
"Cloze","Complete Two Sum II implementation:<br>def two_sum(nums, target):<br>    {{c1::left, right = 0, len(nums) - 1}}<br>    while left < right:<br>        curr_sum = nums[left] + nums[right]<br>        {{c2::if curr_sum == target: return [left + 1, right + 1]}}<br>        {{c3::elif curr_sum < target: left += 1}}<br>        {{c4::else: right -= 1}}<br>    return []","","two_pointers::implementation"
"Cloze","Complete 3Sum implementation:<br>def threeSum(nums):<br>    {{c1::nums.sort()}}<br>    result = []<br>    for i in range(len(nums) - 2):<br>        {{c2::if i > 0 and nums[i] == nums[i-1]: continue}}<br>        left, right = i + 1, len(nums) - 1<br>        while left < right:<br>            total = nums[i] + nums[left] + nums[right]<br>            if total < 0: left += 1<br>            elif total > 0: right -= 1<br>            else:<br>                {{c3::result.append([nums[i], nums[left], nums[right]])}}<br>                {{c4::while left < right and nums[left] == nums[left+1]: left += 1}}<br>                {{c5::while left < right and nums[right] == nums[right-1]: right -= 1}}<br>                left += 1; right -= 1<br>    return result","","two_pointers::implementation"
"Cloze","Complete Container With Most Water:<br>def maxArea(height):<br>    {{c1::left, right = 0, len(height) - 1}}<br>    max_area = 0<br>    while left < right:<br>        {{c2::area = min(height[left], height[right]) * (right - left)}}<br>        max_area = max(max_area, area)<br>        {{c3::if height[left] < height[right]: left += 1}}<br>        {{c4::else: right -= 1}}<br>    return max_area","","two_pointers::implementation"
"Cloze","Complete Trapping Rain Water:<br>def trap(height):<br>    {{c1::left, right = 0, len(height) - 1}}<br>    {{c2::left_max = right_max = 0}}<br>    water = 0<br>    while left < right:<br>        {{c3::if height[left] < height[right]:}}<br>            {{c4::if height[left] >= left_max: left_max = height[left]}}<br>            {{c5::else: water += left_max - height[left]}}<br>            left += 1<br>        else:<br>            if height[right] >= right_max: right_max = height[right]<br>            else: water += right_max - height[right]<br>            right -= 1<br>    return water","","two_pointers::implementation"
"Cloze","Complete Dutch National Flag (Sort Colors):<br>def sortColors(nums):<br>    {{c1::low, mid, high = 0, 0, len(nums) - 1}}<br>    while mid <= high:<br>        {{c2::if nums[mid] == 0:}}<br>            {{c3::nums[low], nums[mid] = nums[mid], nums[low]}}<br>            low += 1; mid += 1<br>        {{c4::elif nums[mid] == 1:}}<br>            mid += 1<br>        {{c5::else:}}<br>            {{c6::nums[mid], nums[high] = nums[high], nums[mid]}}<br>            high -= 1","","two_pointers::implementation"
